image_source,image_label,cluster,pc1,pc2,pc3,combined_vector
01_201949369.vsi - 20x_001,Lymphocytes,1,-5.071616432268757,-0.1290109940561842,-5.071616432268757,"[-2.21130628 -1.53439524 -2.02096878  0.2442623  -2.37744606 -2.24617478
 -1.66025059  1.15114338 -1.35846999 -0.64949778  1.08057288 -0.05205797
  0.84551636  0.55723397  1.00182461  0.02640832  0.28345155  0.36455517
 -0.22191127  0.03787207 -1.59111551 -1.37081327  0.01302479 -1.99583321
  0.93716296 -0.05612424 -1.20394083 -0.31017319 -1.32768669  0.69250988
  0.19090947  0.22475862 -0.05898149  0.29532503]"
01_201949535.vsi - 20x_001,Lymphocytes,1,-3.6100287660632473,1.4538736319203809,-3.6100287660632473,"[-0.57702352 -1.01905112  0.45972102 -2.1711278  -1.07060374 -0.81506017
 -1.20773889  0.92296248  0.75432026 -1.22218882  1.61231551 -0.04489165
  0.44864159  1.40580703  1.92999973  0.74621296  0.95242768  1.42824305
 -0.43045026 -0.50955165 -0.90615829 -1.15712191 -0.72045201 -0.63798495
  0.23181348 -0.08368178  0.5673232   0.91727253 -1.21039717  1.12499537
 -0.778398   -0.46806167 -1.00709964  0.17193128]"
01_201949535.vsi - 20x_002,Lymphocytes,1,-0.14340305076154272,4.513405122772697,-0.14340305076154272,"[-1.45649619 -0.68199243 -1.89693429  0.84810982 -0.77323842 -0.43006489
  0.46179718 -1.04460479  3.18490282  1.85911679  0.24646144  0.90326306
  2.04449355  2.50555543  3.19253652 -0.83123126 -0.49886436  0.79322896
  0.27897144  0.89262737 -0.80337524 -0.54229287  1.10196666  0.54810447
  1.36329712 -1.55944879 -0.35601302 -3.27141967  0.51805107 -0.53881933
 -2.14558383  0.10926791  1.0828979  -0.31582399]"
01_201949535.vsi - 20x_003,Lymphocytes,1,-4.154315236939789,-0.5383602677376995,-4.154315236939789,"[-0.72459985 -1.13988873  0.1496348   1.45195735 -1.67315978 -1.19712141
 -1.4170121   1.60353329 -0.55933852 -1.81810833  1.6978752  -0.1845788
  0.68647441  1.03363722  1.57839003 -0.02719415  0.22828166  0.21941953
 -0.1408962   0.0068171  -1.06289797 -1.07711803 -0.94519654 -0.3976034
  0.10766617 -0.4804588  -0.56654705 -0.33487848 -1.26499457  0.33976596
  0.33644565  0.71481635 -1.06254013  0.22130802]"
01_201949535.vsi - 20x_004,Lymphocytes,1,-4.139621888535261,-1.0200020666498313,-4.139621888535261,"[-0.98023211 -1.2793969  -0.16045143  0.84810982 -1.36796906 -1.41948921
 -1.60452262  1.68443997 -1.15863467 -2.02347114  1.11044922 -0.18916095
  0.6940682   0.56562485  0.74736328 -0.15737159  0.0105197  -0.13400118
 -0.12979067  0.19234942 -1.35598836 -1.24670075 -0.18381907 -0.99913611
  0.52709242 -0.28337069 -0.32343127  0.84483038 -1.19516766  0.5761743
 -0.55698728  0.4471152   1.11274927 -1.92383717]"
01_201950066.vsi - 20x_001,Lymphocytes,1,-4.466620112946857,3.740978267528307,-4.466620112946857,"[-1.2832967  -0.96331316 -0.96667562 -1.56728028  0.84662003 -1.37468133
 -1.0784935   0.8833827  -1.17985242 -0.45274288 -0.04142356  1.7597156
  1.2907716   1.7495121   1.68220396  2.45383462  2.46199688  0.79280061
 -0.89575413 -1.06607984 -1.01479041 -0.70470135 -0.57878264 -0.26050064
 -0.06493428  1.00457356 -0.18141344 -0.92380067 -0.24954609 -0.80592125
 -0.7074204  -0.16965801 -0.44969583 -0.71390756]"
01_201950066.vsi - 20x_001 (2),Lymphocytes,1,-2.281603243165097,2.2698794249047833,-2.281603243165097,"[-0.9031217  -0.53152804 -0.74961526 -0.96343275 -0.4680477  -0.71552092
 -0.39377859  0.07910142  0.39371381 -0.09805133  0.00654854  0.61446996
  0.9297003   1.05175085  0.96012524  0.73855547  0.71474794  0.785582
 -0.4212863  -0.62372867 -0.56103925 -0.42793252 -1.66193615  0.68106784
 -0.4270099  -1.02840139 -1.51734851 -0.79705663  1.72328904  0.31170302
  0.51230113 -0.59809273 -0.98821549 -0.75808128]"
01_201950066.vsi - 20x_002,Lymphocytes,1,-3.8779707133215537,2.976304020019006,-3.8779707133215537,"[-1.34499059 -1.09574051 -1.05970148 -0.35958523 -0.60107955 -1.25989519
 -1.05639484  0.56068477 -0.16079467  0.40969777 -1.05355935  1.24423024
  1.32221752  1.89434202  1.48136288  1.45836011  1.48298629  1.07638103
 -0.61751897 -0.8181729  -1.074728   -0.97883997 -0.72473263 -0.66915701
  0.07365116 -0.37264478 -0.14629734 -1.37883184 -1.08844697  0.48866047
  0.30295056 -1.08415572  0.52044653 -0.594476  ]"
01_201950066.vsi - 20x_003,Lymphocytes,1,-4.6727010744436,1.5625917141889643,-4.6727010744436,"[-0.90002965 -1.11876345 -0.22246867  0.2442623  -1.54012793 -1.16757081
 -1.29834522  1.1729708  -0.80224414 -0.9880548   0.70813714  0.9330261
  1.29123653  1.47383674  1.30258306  1.24395022  1.16561389  0.5861216
 -0.54104769 -0.72704186 -1.0244703  -1.17830816 -1.17316624 -0.1131674
  0.0695561  -0.49249198 -1.26570323 -0.20577641 -0.32070295  0.68229368
 -0.5741927  -0.31667027  0.33255298 -1.40020178]"
01_201950066.vsi - 20x_004,Lymphocytes,1,-3.602340162610345,2.031562283506861,-3.602340162610345,"[-0.79740777 -0.86932333 -0.19146005  0.2442623  -0.82019084 -0.9677019
 -0.85268787  0.92100425 -0.15688363 -0.81245097 -0.18839182  1.17984048
  1.27325672  1.29640095  1.47373785  1.06017031  1.22819051  0.64895935
 -0.53542194 -0.5292535  -0.85206377 -0.73994569 -0.99554775 -0.52416502
  0.00557043  0.39735041 -0.91127748 -0.85932638 -0.32756053  0.32974961
 -0.51815476 -0.71542948 -1.02929678  0.25514738]"
